ID	Mode	Molecular Weight	m/z	ion	RT [min]	Name	Formula	MA	MB	MC	MD	OA	OB	OC	OD
624	n	367.09111	366.08386	M-H	2.849	366.08386_2.849	C11 H14 N9 O4 P	4682.611099	30207.55476		94462.62474	2509.889929		290500.2672	198019.1934
625	n	143.05737	142.05008	M-H	3.136	142.05008_3.136		451814.5048	591874.0449		314009.8533	39933.71197		103512.0679	319536.5809
626	n	129.04164	128.03439	M-H	3.208	128.0344_3.208		96383.39208	56578.89604		35630.93883	65779.94492		22543.17607	28429.29195
627	n	102.03061	101.2325	M-H	3.234	101.2325_3.234		11361.77938	93089.38303		80719.9018	1582.051214		55122.52966	54086.73903
628	n	186.13637	185.12909	M-H	3.298	capuride	C9 H18 N2 O2	9042.776067	73544.5142		1430.349831	4645.768207		3737.441286	5277.203688
629	n	158.10481	157.09753	M-H	3.383	157.09753_3.383	C7 H14 N2 O2	66241.49923	114969.7573		30546.97675	31081.37441		188823.2747	57382.08848
630	n	80.96343	79.95616	M-H	3.48	79.95616_3.48		92942.77412	92719.52017		91541.92502	120091.8969		120332.3302	103185.5643
631	n	237.89086	236.88359	M-H	3.48	236.88359_3.48	C5 H4 O P2 S3	77569.81398	85886.97781		83347.79276	130547.3446		101831.1146	81903.85181
632	n	315.87208	314.86493	M-H	3.481	314.86493_3.481		110338.8707	52168.17165		194698.8513	132347.6828		87439.02564	130782.2279
633	n	179.95724	178.94997	M-H	3.482	178.94997_3.482	C2 H N2 O6 P	88310.65411	26435.0463		183910.4378	65665.35701		76809.98031	96944.68537
634	n	177.92352	176.91626	M-H	3.482	176.91626_3.482	C4 H4 P2 S2	223202.3985	228901.4393		230834.0797	293734.6269		292263.7624	244362.2567
635	n	277.84971	276.84235	M-H	3.482	276.84235_3.482		59413.11233	95760.59541		69465.63285	163039.1749		121384.3031	66551.16825
636	n	175.94401	174.93672	M-H	3.482	174.93672_3.482	C3 H N2 O3 P S	172454.5717	96963.80583		126926.1885	190478.5352		196725.7417	156986.3064
637	n	97.96615	96.95889	M-H	3.483	96.95889_3.483		22267450.13	22692468.99		22154536	25970629.6		27699540.6	24318614.51
638	n	97.96709	194.92683	2M-H	3.483	Sulfate	H2 O4 S	13306514.9	13533007.22		13423879.12	16474908.78		16855740.09	14445215.7
639	n	99.97032	98.96304	M-H	3.484	98.96304_3.484		175845.9895	175935.0658		173638.934	207872.8342		220980.9186	193431.2359
640	n	195.93413	194.92693	M-H	3.484	194.9269_3.484	C4 H6 O P2 S2	13529717.3	13761908.66		13654713.2	16768643.41		17148003.86	14689577.96
641	n	99.96191	98.95458	M-H	3.485	98.95458_3.485		982442.9865	956775.1117		985586.6817	1150400.554		1224456.449	1066354.183
642	n	217.9164	216.90915	M-H	3.486	216.9092_3.486		960855.5609	1092661.102		742556.5421	1059470.576		1187267.664	985090.7884
643	n	260.84689	259.83963	M-H	3.492	259.8396_3.492		549980.2567	1465868.836		634344.6931	1966208.787		1922972.053	573093.4601
644	n	180.88923	179.88199	M-H	3.492	179.88199_3.492		157225.1647	320609.0496		184533.5273	370634.8359		343990.1169	221874.5408
645	n	197.89214	196.88484	M-H	3.507	196.88484_3.507		110095.9829	227704.2882		127033.2487	358666.3112		579870.9716	143442.0062
646	n	337.86664	336.85928	M-H	3.512	336.85928_3.512	C3 H4 N2 O7 P2 S3	209623.7046	225691.0941		166975.0853	203104.4868		183141.8447	224631.1961
647	n	175.94401	174.93674	M-H	3.565	"2,5-dichlorobenzoquinone"	C6 H2 Cl2 O2	199413.1634	291568.1953		223530.8738	390404.1067		257133.6184	225966.3968
648	n	153.99284	152.9856	M-H	3.614	152.9856_3.614	C3 H6 O5 S	17336.78319	19756.95658		7493.860362	180636.9183		18048.08981	14487.46122
649	n	175.0475	174.04022	M-H	3.621	[FAamino_oxo(6:0/2:0)]2-amino-3-oxo-hexanedioicacid	C6 H9 N O5	155294.9104	101852.1661		37573.02566	70063.91251		63877.3774	51145.089
650	n	126.04198	125.03471	M-H	3.653	125.0347_3.653		39008.55165	86504.255		48999.76327	8401.964633		201319.4329	65404.16309
651	n	219.11064	218.10333	M-H	3.772	Pantothenicacid(VitaminB5)	C9 H17 N O5	32169.98894	64316.43133		83247.98942	1825.355237		61024.26376	39257.0717
652	n	146.06831	145.06104	M-H	3.807	145.06104_3.807		15000.41581	48127.40172		22842.17921	3915.70752		61385.56569	24230.16689
653	n	243.04699	242.03972	M-H	3.897	242.0397_3.897	C4 H5 N9 O4	80991.36924	145822.4315		108661.9905	4317.080445		95723.03147	107785.3148
654	n	158.06838	157.06114	M-H	3.899	4-Methylene-L-glutamine	C6 H10 N2 O3	250114.8865	596449.7315		462523.1981	78559.26652		499983.2164	359826.7596
655	n	128.05762	127.05035	M-H	3.918	127.05035_3.918		51204.77583	169945.0809		83993.46187	11742.97505		317229.4617	108249.9811
656	n	142.07334	141.06602	M-H	3.986	141.06602_3.986		171120.5744	313020.3828		157241.543	27067.86465		214774.8326	224966.5831
657	n	147.97229	146.96513	M-H	6.146	146.96513_6.146		8077.398578	12504.46112		4570.012945	1326.960015		9344.92071	22729.90535
658	n	317.78679	316.77948	M-H	8.587	316.77948_8.587		711.6929195	1166.170001		752.896415	1919341.889		6008.2962	744.8556955
659	n	235.82716	234.8199	M-H	8.699	234.8199_8.699		458.5897565	480.1546899		569.0263864	391773.3178		3344.021221	441.3639315
